Row,Column,Goal Row,Goal Column,Vertical Distance to Goal,Horizontal Distance to Goal,Direction,Sector Cost,Cost To Goal
1,1,1,5,0,4,4,15,11.0
1,2,1,5,0,3,4,15,5.0
1,3,1,5,0,2,4,15,2.0
1,4,1,5,0,1,4,0,1.0
1,5,1,5,0,0,4,0,0
0,4,4,1,4,3,1,13,25.0
0,4,4,1,4,3,2,13,24.0
0,3,4,1,4,2,2,13,23.0
0,2,4,1,4,1,2,12,16.0
0,1,4,1,4,0,2,12,14.0
0,1,4,1,4,0,3,12,13.0
1,1,4,1,3,0,3,12,9.0
2,1,4,1,2,0,3,12,6.0
3,1,4,1,1,0,3,0,1.0
4,1,4,1,0,0,3,0,0
3,2,2,2,1,0,1,0,1.0
2,2,2,2,0,0,1,0,0
1,3,0,0,1,3,1,12,12.0
1,3,0,0,1,3,2,12,11.0
1,2,0,0,1,2,2,12,10.0
1,1,0,0,1,1,2,0,7.0
1,0,0,0,1,0,2,0,3.0
1,0,0,0,1,0,1,0,1.0
0,0,0,0,0,0,1,0,0
0,5,3,0,3,5,1,6,24.0
0,5,3,0,3,5,2,6,23.0
0,5,3,0,3,5,3,6,22.0
1,5,3,0,2,5,3,6,19.0
2,5,3,0,1,5,3,8,16.0
3,5,3,0,0,5,3,8,14.0
3,5,3,0,0,5,2,8,13.0
3,4,3,0,0,4,2,8,10.0
3,3,3,0,0,3,2,8,6.0
3,2,3,0,0,2,2,8,3.0
3,1,3,0,0,1,2,0,1.0
3,0,3,0,0,0,2,0,0
5,0,5,1,0,1,1,0,2.0
5,0,5,1,0,1,4,0,1.0
5,1,5,1,0,0,4,0,0
2,1,5,5,3,4,1,16,19.0
2,1,5,5,3,4,4,16,18.0
2,2,5,5,3,3,4,16,17.0
2,2,5,5,3,3,3,16,16.0
3,2,5,5,2,3,3,16,15.0
3,2,5,5,2,3,4,16,14.0
3,3,5,5,2,2,4,16,11.0
3,4,5,5,2,1,4,8,8.0
3,5,5,5,2,0,4,8,5.0
3,5,5,5,2,0,3,8,3.0
4,5,5,5,1,0,3,0,1.0
5,5,5,5,0,0,3,0,0
5,4,2,5,3,1,1,16,18.0
5,4,2,5,3,1,4,16,17.0
5,5,2,5,3,0,4,16,12.0
5,5,2,5,3,0,1,16,9.0
4,5,2,5,2,0,1,16,4.0
3,5,2,5,1,0,1,0,1.0
2,5,2,5,0,0,1,0,0
5,4,3,5,2,1,1,6,11.0
4,4,3,5,1,1,1,0,8.0
4,4,3,5,1,1,4,0,6.0
4,5,3,5,1,0,4,0,3.0
4,5,3,5,1,0,1,0,1.0
3,5,3,5,0,0,1,0,0
5,4,0,2,5,2,1,14,23.0
4,4,0,2,4,2,1,14,20.0
3,4,0,2,3,2,1,14,15.0
2,4,0,2,2,2,1,14,13.0
2,4,0,2,2,2,2,14,12.0
2,3,0,2,2,1,2,16,9.0
2,2,0,2,2,0,2,16,6.0
2,2,0,2,2,0,1,16,4.0
1,2,0,2,1,0,1,0,1.0
0,2,0,2,0,0,1,0,0
1,1,4,1,3,0,1,15,7.0
1,1,4,1,3,0,2,15,6.0
1,1,4,1,3,0,3,15,5.0
2,1,4,1,2,0,3,15,3.0
3,1,4,1,1,0,3,0,1.0
4,1,4,1,0,0,3,0,0
3,2,4,1,1,1,1,0,9.0
2,2,4,1,2,1,1,17,7.0
2,2,4,1,2,1,2,17,6.0
2,1,4,1,2,0,2,17,5.0
2,1,4,1,2,0,3,17,4.0
3,1,4,1,1,0,3,0,1.0
4,1,4,1,0,0,3,0,0
2,3,1,3,1,0,1,0,1.0
1,3,1,3,0,0,1,0,0
1,1,5,3,4,2,1,18,18.0
1,1,5,3,4,2,2,18,17.0
1,1,5,3,4,2,3,18,16.0
2,1,5,3,3,2,3,18,15.0
2,1,5,3,3,2,4,18,14.0
2,2,5,3,3,1,4,15,11.0
2,3,5,3,3,0,4,15,10.0
2,3,5,3,3,0,3,15,9.0
3,3,5,3,2,0,3,15,6.0
4,3,5,3,1,0,3,0,1.0
5,3,5,3,0,0,3,0,0
3,0,3,2,0,2,1,22,5.0
3,0,3,2,0,2,4,22,4.0
3,1,3,2,0,1,4,0,1.0
3,2,3,2,0,0,4,0,0
5,0,2,3,3,3,1,10,20.0
4,0,2,3,2,3,1,10,17.0
3,0,2,3,1,3,1,17,11.0
3,0,2,3,1,3,4,17,8.0
3,1,2,3,1,2,4,17,6.0
3,2,2,3,1,1,4,0,3.0
3,3,2,3,1,0,4,0,2.0
3,3,2,3,1,0,1,0,1.0
2,3,2,3,0,0,1,0,0
4,1,0,1,4,0,1,8,11.0
3,1,0,1,3,0,1,8,8.0
2,1,0,1,2,0,1,8,4.0
1,1,0,1,1,0,1,0,1.0
0,1,0,1,0,0,1,0,0
5,5,5,2,0,3,1,9,8.0
5,5,5,2,0,3,2,9,7.0
5,4,5,2,0,2,2,9,4.0
5,3,5,2,0,1,2,0,1.0
5,2,5,2,0,0,2,0,0
1,3,5,0,4,3,1,13,21.0
1,3,5,0,4,3,2,13,20.0
1,3,5,0,4,3,3,13,19.0
2,3,5,0,3,3,3,13,18.0
2,3,5,0,3,3,2,13,17.0
2,2,5,0,3,2,2,13,16.0
2,2,5,0,3,2,3,13,15.0
3,2,5,0,2,2,3,13,12.0
4,2,5,0,1,2,3,7,9.0
5,2,5,0,0,2,3,7,6.0
5,2,5,0,0,2,2,7,4.0
5,1,5,0,0,1,2,0,1.0
5,0,5,0,0,0,2,0,0
4,2,2,5,2,3,1,12,10.0
3,2,2,5,1,3,1,7,7.0
2,2,2,5,0,3,1,7,6.0
2,2,2,5,0,3,4,7,5.0
2,3,2,5,0,2,4,7,4.0
2,4,2,5,0,1,4,0,1.0
2,5,2,5,0,0,4,0,0
3,5,3,1,0,4,1,16,9.0
3,5,3,1,0,4,2,16,8.0
3,4,3,1,0,3,2,16,7.0
3,3,3,1,0,2,2,16,4.0
3,2,3,1,0,1,2,0,1.0
3,1,3,1,0,0,2,0,0
1,1,5,0,4,1,1,18,22.0
1,1,5,0,4,1,2,18,21.0
1,1,5,0,4,1,3,18,20.0
2,1,5,0,3,1,3,18,17.0
3,1,5,0,2,1,3,18,10.0
4,1,5,0,1,1,3,0,7.0
5,1,5,0,0,1,3,0,3.0
5,1,5,0,0,1,2,0,1.0
5,0,5,0,0,0,2,0,0
5,1,1,1,4,0,1,8,10.0
4,1,1,1,3,0,1,8,7.0
3,1,1,1,2,0,1,8,3.0
2,1,1,1,1,0,1,0,1.0
1,1,1,1,0,0,1,0,0
4,0,4,4,0,4,1,13,12.0
4,0,4,4,0,4,4,13,11.0
4,1,4,4,0,3,4,13,8.0
4,2,4,4,0,2,4,13,4.0
4,3,4,4,0,1,4,0,1.0
4,4,4,4,0,0,4,0,0
2,4,5,3,3,1,1,14,16.0
2,4,5,3,3,1,2,14,15.0
2,3,5,3,3,0,2,14,12.0
2,3,5,3,3,0,3,14,10.0
3,3,5,3,2,0,3,14,7.0
4,3,5,3,1,0,3,0,1.0
5,3,5,3,0,0,3,0,0
3,3,1,0,2,3,1,17,12.0
2,3,1,0,1,3,1,14,9.0
1,3,1,0,0,3,1,14,8.0
1,3,1,0,0,3,2,14,7.0
1,2,1,0,0,2,2,14,4.0
1,1,1,0,0,1,2,0,1.0
1,0,1,0,0,0,2,0,0
3,3,1,2,2,1,1,14,11.0
3,3,1,2,2,1,2,14,10.0
3,2,1,2,2,0,2,14,6.0
3,2,1,2,2,0,1,14,4.0
2,2,1,2,1,0,1,0,1.0
1,2,1,2,0,0,1,0,0
4,5,0,5,4,0,1,7,7.0
3,5,0,5,3,0,1,7,4.0
2,5,0,5,2,0,1,7,2.0
1,5,0,5,1,0,1,0,1.0
0,5,0,5,0,0,1,0,0
4,5,0,3,4,2,1,17,14.0
3,5,0,3,3,2,1,17,11.0
2,5,0,3,2,2,1,17,10.0
2,5,0,3,2,2,2,17,9.0
2,4,0,3,2,1,2,12,7.0
2,3,0,3,2,0,2,12,5.0
2,3,0,3,2,0,1,12,4.0
1,3,0,3,1,0,1,0,1.0
0,3,0,3,0,0,1,0,0
0,0,4,1,4,1,1,19,16.0
0,0,4,1,4,1,2,19,15.0
0,0,4,1,4,1,3,19,14.0
1,0,4,1,3,1,3,19,11.0
2,0,4,1,2,1,3,19,9.0
3,0,4,1,1,1,3,0,6.0
4,0,4,1,0,1,3,0,3.0
4,0,4,1,0,1,4,0,1.0
4,1,4,1,0,0,4,0,0
0,5,1,3,1,2,1,20,9.0
0,5,1,3,1,2,2,20,8.0
0,5,1,3,1,2,3,20,7.0
1,5,1,3,0,2,3,20,5.0
1,5,1,3,0,2,2,20,4.0
1,4,1,3,0,1,2,0,1.0
1,3,1,3,0,0,2,0,0
4,3,5,3,1,0,1,0,3.0
4,3,5,3,1,0,2,0,2.0
4,3,5,3,1,0,3,0,1.0
5,3,5,3,0,0,3,0,0
2,3,3,4,1,1,1,0,8.0
2,3,3,4,1,1,4,0,7.0
2,4,3,4,1,0,4,0,3.0
2,4,3,4,1,0,3,0,1.0
3,4,3,4,0,0,3,0,0
0,4,3,0,3,4,1,20,20.0
0,4,3,0,3,4,2,20,19.0
0,4,3,0,3,4,3,20,18.0
1,4,3,0,2,4,3,20,17.0
2,4,3,0,1,4,3,16,15.0
3,4,3,0,0,4,3,16,12.0
3,4,3,0,0,4,2,16,10.0
3,3,3,0,0,3,2,16,7.0
